,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal,Time,Species,address,Latitude,Longitude
2296,Reported 03-Feb-1930,1930.0,Provoked,AUSTRALIA,Western Australia,Onslow,other,laceration to thigh from trapped shark provoked incident,No,,,"Onslow,Western Australia,AUSTRALIA",-21.6382467,115.1134438
2297,16-Dec-1929,1929.0,Unprovoked,AUSTRALIA,New South Wales,Collaroy,surfing,superficial lacerations on right leg,No,,"""a small shark""","Collaroy,New South Wales,AUSTRALIA",-33.7382194,151.2996618
2298,Reported 03-Dec-1929,1929.0,Unprovoked,AUSTRALIA,Queensland,Townsville,other,fatal,Yes,,,"Townsville,Queensland,AUSTRALIA",-19.2569391,146.8239537
2299,21-Nov-1929,1929.0,Unprovoked,CUBA,Cienfuegos Province,Cienfuegos,fishing,"shark attacked his boat, threatening to capsize it. he jumped overboard & shark bit his arm. he knifed & killed shark. later his arm was surgically amputated",No,,,"Cienfuegos,Cienfuegos Province,CUBA",22.3452278,-80.2645764
2300,01-Sep-1929,1929.0,Unprovoked,AUSTRALIA,Queensland,"Ross River, Townsville",other,"fatal, severe injuries to both legs",Yes,,,"Ross River, Townsville,Queensland,AUSTRALIA",-19.3090595,146.7688108
2301,05-Aug-1929,1929.0,Unprovoked,USA,South Carolina,Fort Moultrie,other,left foot & ankle bitten,No,,,"Fort Moultrie,South Carolina,USA",32.7597937,-79.85777466479117
2302,29-Jul-1929,1929.0,Unprovoked,MEXICO,Tamaulipas,Tampico,swimming,right leg severed below knee,No,,,"Tampico,Tamaulipas,MEXICO",22.2329889,-97.8614802
2303,23-Jun-1929,1929.0,Provoked,USA,Florida,"Fort Pierce, St Lucie County",fishing,leg bitten by hooked shark provoked incident,No,,9-foot shark,"Fort Pierce, St Lucie County,Florida,USA",27.4467056,-80.3256056
2304,Reported 26-Apr-1929,1929.0,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,diving,thigh bitten,No,,,"Great Barrier Reef,Queensland,AUSTRALIA",-19.1013672,146.9558555
2305,Reported 17-Apr-1929,1929.0,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef,diving,lacerations to right wrist,No,,,"Great Barrier Reef,Queensland,AUSTRALIA",-19.1013672,146.9558555
