,Date,Year,Type,Country,Area,Location,Activity,Injury,Fatal,Time,Species,address,Latitude,Longitude
0,25-Jun-2018,2018.0,Boating,USA,California,"Oceanside, San Diego County",other,"no injury to occupant, outrigger canoe and paddle damaged",No,18h00,white shark,"Oceanside, San Diego County,California,USA",33.1958696,-117.3794834
1,08-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Arrawarra Headland,surfing,minor injury to lower leg,No,,2 m shark,"Arrawarra Headland,New South Wales,AUSTRALIA",-30.060426,153.2016851
2,03-Jun-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Flat Rock, Ballina",surfing,"no injury, board bitten",No,,,"Flat Rock, Ballina,New South Wales,AUSTRALIA",-28.8429552,153.6079901360164
3,03-Jun-2018,2018.0,Unprovoked,BRAZIL,Pernambuco,"Piedade Beach, Recife",swimming,fatal,Yes,Late afternoon,tiger shark,"Piedade Beach, Recife,Pernambuco,BRAZIL",-8.1760585,-34.917877
4,26-May-2018,2018.0,Unprovoked,USA,Florida,"Cocoa Beach, Brevard  County",walking,lower left leg bitten,No,17h00,"bull shark, 6'","Cocoa Beach, Brevard  County,Florida,USA",28.3194741,-80.6102592
5,26-May-2018,2018.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",other,minor injury to foot,No,14h00,,"Daytona Beach, Volusia County,Florida,USA",29.2108147,-81.0228331
6,24-May-2018,2018.0,Provoked,AUSTRALIA,Queensland,Cairns Aquarium,feeding,minor bite to hand by captive shark. provoked incident,No,Morning,grey reef shark,"Cairns Aquarium,Queensland,AUSTRALIA",-16.9186011,145.77365282675595
7,21-May-2018,2018.0,Unprovoked,USA,South Carolina,"Isle of Palms,  Charleston County",surfing,injuries to lower right leg and foot,No,,,"Isle of Palms,  Charleston County,South Carolina,USA",32.7867697,-79.7880359
8,13-May-2018,2018.0,Unprovoked,USA,South Carolina,"Hilton Head Island, Beaufort County",swimming,severe bite to right forearm,No,15h00,,"Hilton Head Island, Beaufort County,South Carolina,USA",32.1618488,-80.7512616
9,13-May-2018,2018.0,Invalid,ENGLAND,Cornwall,Off Land's End,fishing,injured by teeth of a dead porbeagle shark he was tossing overboard.,No,08h15,invalid incident,"Off Land's End,Cornwall,ENGLAND",50.0662633,-5.7148222
10,09-May-2018,2018.0,Questionable,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,"no injury, surfboard damaged",No,10h30,shark involvement not confirmed,"Sharpes Beach, Ballina,New South Wales,AUSTRALIA",-28.83757345,153.60440400883255
11,28-Apr-2018,2018.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,"no injury, shark bit scuba gear",No,10h40,tiger shark,"Manuelita,Cocos Island,COSTA RICA",5.561372,-87.04767007689017
12,25-Apr-2018,2018.0,Questionable,AUSTRALIA,New South Wales,Lennox Head,surfing,no injury,No,07h00,questionable,"Lennox Head,New South Wales,AUSTRALIA",-28.7910334,153.5878047
13,25-Apr-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,"Surfers Point, Prevelly",surfing,"no injury, knocked off board by shark",No,09h30,3 m shark,"Surfers Point, Prevelly,Western Australia,AUSTRALIA",-33.976757,114.9859179
14,14-Apr-2018,2018.0,Unprovoked,BAHAMAS,New Providence,Nirvana Beach,surfing,no injury. shark swam away with the surf board,No,09h30,tiger shark,"Nirvana Beach,New Providence,BAHAMAS",25.0632358,-77.4884097
15,09-Apr-2018,2018.0,Unprovoked,NEW CALEDONIA,,"Magenta Beach, Noumea",surfing,"no injury, shark bit board",No,17h00,2 m shark,"Magenta Beach, Noumea,nan,NEW CALEDONIA",-22.27213,166.4642372
16,05-Apr-2018,2018.0,Unprovoked,BAHAMAS,,Bimini,swimming,"2 puncture wounds to left foot, abrasion to right foot",No,18h00,bull shark,"Bimini,nan,BAHAMAS",25.720065,-79.2744573
17,31-Mar-2018,2018.0,Unprovoked,USA,Hawaii,Kukio Beach,other,injuries to right leg & hand,No,09h30,"tiger shark, 12'","Kukio Beach,Hawaii,USA",19.817363,-155.9987741
18,14-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Waterman's Bay,walking,minor injuries to legs,No,17h35,wobbegong shark,"Waterman's Bay,Western Australia,AUSTRALIA",-31.8490984,115.7554654
19,9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Lorne,swimming,"no injury, said to have been charged by sharks several times",No,15h30,3.5 m shark,"Lorne,Victoria,AUSTRALIA",-38.5411691,143.9748166
20,9-Mar-2018,2018.0,Unprovoked,AUSTRALIA,Victoria,Winkipop,surfing,"minor injury, ankle grazed",No,07h30,1.8 m shark,"Winkipop,Victoria,AUSTRALIA",-38.2280117,144.3390979
21,24-Feb-2018,2018.0,Unprovoked,SOUTH AFRICA,KwaZulu-Natal,Durban,diving,the shark & man simply collided; neither were injured,No,,blacktip shark,"Durban,KwaZulu-Natal,SOUTH AFRICA",-29.861825,31.009909
22,23-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Little Congwong Beach, La Perouse ",swimming,laceratons to right leg & foot,No,"19h00, Dusk","juvenile white shark,  2.7 to 3.2 m","Little Congwong Beach, La Perouse ,New South Wales,AUSTRALIA",-33.99138545,151.2383236410764
23,18-Feb-2018,2018.0,Provoked,AUSTRALIA,Victoria,Westernport Bay,sailing,"shark rammed kayak, no injury to occupant  provoked incident",No,Night,,"Westernport Bay,Victoria,AUSTRALIA",-38.46983085,145.25864713704553
24,15-Feb-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,"Surf Beach, Kiama",walking,puncture wounds to leff foot & lower leg,No,16h00,"bull shark, 2 m","Surf Beach, Kiama,New South Wales,AUSTRALIA",-34.67633885,150.85455902996785
25,14-Feb-2018,2018.0,Invalid,AUSTRALIA,Queensland,Mooloolaba Beach,swimming,"collision / no injury, no attack",No,18h00,possibly a wobbegong,"Mooloolaba Beach,Queensland,AUSTRALIA",-26.6811429,153.12190629808532
26,28-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Western Australia,Cone Bay,other,injuries to right leg,No,08h00,bull shark,"Cone Bay,Western Australia,AUSTRALIA",-16.47086,123.5577
27,21-Jan-2018,2018.0,Unprovoked,NEW CALEDONIA,,Nouville,fishing,injuries to abdomen and arm,No,15h30,"bull shark, 3 m","Nouville,nan,NEW CALEDONIA",-22.2649896,166.40190174956027
28,14-Jan-2018,2018.0,Unprovoked,AUSTRALIA,Queensland,Lizard Island,diving,severe laceration to left forearm,No,15h01,grey reef shark. 2 m,"Lizard Island,Queensland,AUSTRALIA",-14.6683188,145.4609161
29,13-Jan-2018,2018.0,Unprovoked,AUSTRALIA,New South Wales,Martin Islet,diving,"no injury, shark took his swimfin",No,,"white shark, 3.5 m","Martin Islet,New South Wales,AUSTRALIA",-30.3161277,153.1563362
30,12-Jan-2018,2018.0,Unprovoked,BRAZIL,Fernando de Noronha,Conceicao Beach,surfing,minor injury to left forearm,No,Late afternoon,small shark,"Conceicao Beach,Fernando de Noronha,BRAZIL",-3.8423534,-32.41663051968288
31,21-Dec-2017,2017.0,Provoked,MALAYSIA,Sepang,Bagan Lalang Beach,walking,"minor injury to thigh, provoked incident",No,,juvenile nurse shark,"Bagan Lalang Beach,Sepang,MALAYSIA",2.6087569,101.6890702
32,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,serious injury to leg,No,,"tiger shark, female","Manuelita,Cocos Island,COSTA RICA",5.561372,-87.04767007689017
33,30-Nov-2017,2017.0,Unprovoked,COSTA RICA,Cocos Island,Manuelita,diving,fatal,Yes,,"tiger shark, female","Manuelita,Cocos Island,COSTA RICA",5.561372,-87.04767007689017
34,24-Nov-2017,2017.0,Unprovoked,USA,California,"Stillwater Cove, Monterey County",fishing,right leg bitten,No,13h45,"white shark, 4.6 m","Stillwater Cove, Monterey County,California,USA",36.5648881,-121.9416932
35,18-Nov-2017,2017.0,Unprovoked,USA,Florida,"Floridana Beach, Brevard County",surfing,heel bitten,No,Late afternoon,,"Floridana Beach, Brevard County,Florida,USA",27.9462734,-80.4970188
36,13-Nov-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Avoca Beach,surfing,puncture wounds to left shoulder,No,16h00,2 m shark,"Avoca Beach,New South Wales,AUSTRALIA",-33.465,151.4344444
37,Reported 31-Oct-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Magnetic Island,diving,calf injured,No,,cookiecutter shark,"Magnetic Island,Queensland,AUSTRALIA",-19.1421421,146.83354856403196
38,28-Oct-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Birubi Point,surfing,minor injury to foot,No,09h00,"wobbegong shark, 1 m","Birubi Point,New South Wales,AUSTRALIA",-32.7865966,152.08121011636692
39,23-Oct-2017,2017.0,Unprovoked,MAURITIUS,Pamplemousses,Le Goulet,swimming,minor injury to foot,No,Afternoon,,"Le Goulet,Pamplemousses,MAURITIUS",-20.1055328,57.51768817754795
40,23-Oct-2017,2017.0,Unprovoked,USA,Florida,"Juno Beach, Palm Beach County",surfing,lacerations to left foot,No,17h00,,"Juno Beach, Palm Beach County,Florida,USA",26.8797819,-80.0533743
41,22-Oct-2017,2017.0,Unprovoked,AUSTRALIA,South Australia,Normanville,sailing,minor injuries,No,Afternoon,"white shark, 4.5 m","Normanville,South Australia,AUSTRALIA",-35.4446851,138.3174968
42,18-Oct-2017,2017.0,Unprovoked,USA,Florida,"Lantana Beach, Palm Beach County",swimming,puncture wounds & lacerations to foot,No,14h30,"spinner shark, 4 to 5 feet","Lantana Beach, Palm Beach County,Florida,USA",26.5865308,-80.052166
43,05-Oct-2017,2017.0,Unprovoked,USA,Hawaii,"Kamaole Beach Park, Maui ",diving,abrasions,No,12h30,8' shark,"Kamaole Beach Park, Maui ,Hawaii,USA",20.72133105,-156.44740074805583
44,25-Sep-2017,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,lacerations to lower left leg and foot,No,Morning,5' shark,"Hanna Park, Jacksonville, Duval County,Florida,USA",30.37095535,-81.40284284733937
45,25-Sep-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Gracetown,surfing,"no injury, board damaged by shark",No,18h00,"white shark, 3.5 m","Gracetown,Western Australia,AUSTRALIA",-33.8646786,114.9881592
46,24-Sep-2017,2017.0,Unprovoked,USA,Florida,Fort Worth,surfing,laceration to upper arm,No,14h00,4' to 5' shark,"Fort Worth,Florida,USA",27.9208226,-80.6834692
47,20-Sep-2017,2017.0,Unprovoked,USA,Florida,Palm Beach County,surfing,minor lacerations to sole of left foot,No,Morning,,"Palm Beach County,Florida,USA",26.6279798,-80.4494174
48,16-Sep-2017,2017.0,Unprovoked,SPAIN,Canary Islands,Gran Canaria ,surfing,lacerations to right foot,No,,"porbeagle, 1.5 m","Gran Canaria ,Canary Islands,SPAIN",27.9580004,-15.6062305376665
49,16-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,lacerations to left foot,No,16h30,,"Ponce Inlet, Volusia County,Florida,USA",29.0963729,-80.9369983
50,13-Sep-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,lacerations to left foot,No,18h45,5' to 6' shark,"Ponce Inlet, Volusia County,Florida,USA",29.0963729,-80.9369983
51,10-Sep-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,Iluka Beach,surfing,minor lacerations to right hip,No,06h00,"white shark, 3 to 3.5m","Iluka Beach,New South Wales,AUSTRALIA",-29.4095634,153.36534589120652
52,03-Sep-2017,2017.0,Unprovoked,JAPAN,Shizuoka Prefecture,Iwata City,surfing,injury to ankle & feet,No,10h00,,"Iwata City,Shizuoka Prefecture,JAPAN",34.706481,137.851285
53,02-Sep-2017,2017.0,Unprovoked,USA,Florida,"Marathon, Monroe County",swimming,lacerations to abdomen,No,,nurse shark,"Marathon, Monroe County,Florida,USA",24.7137524,-81.0903512
54,02-Sep-2017,2017.0,Unprovoked,USA,Texas,"South Padre Island, Cameron County",swimming,lacerations to foot,No,,,"South Padre Island, Cameron County,Texas,USA",26.1036887,-97.1646938
55,02-Sep-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,minor injury to right hand,No,10h44,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
56,29-Aug-2017,2017.0,Unprovoked,AUSTRALIA,Victoria,Cathedral Rock,surfing,"no injury, board bitten",No,10h30,"white shark, 3 m","Cathedral Rock,Victoria,AUSTRALIA",-37.2822797,142.5614978
57,27-Aug-2017,2017.0,Unprovoked,USA,Florida,Bathtub Beach ,walking,leg injured,No,13h19,,"Bathtub Beach ,Florida,USA",27.18588305,-80.16071285214188
58,23-Aug-2017,2017.0,Unprovoked,USA,Massachusetts,"Marconi Beach, Wellfleet, Barnstable County",other,not injured by shark but board bitten,No,10h00,"white shark, 5' to 7'","Marconi Beach, Wellfleet, Barnstable County,Massachusetts,USA",41.8910565,-69.9614174
59,10-Aug-2017,2017.0,Unprovoked,USA,South Carolina,"Sea Pines Resort, Hilton Head Island, Beaufort County",swimming,minor cuts to sole & toes of left foot,No,13h30,possibly a juvenile blacktip shark,"Sea Pines Resort, Hilton Head Island, Beaufort County,South Carolina,USA",32.1335419,-80.7948312
60,03-Aug-2017,2017.0,Provoked,USA,Massachusetts,"Menauhant Beach, Falmouth,
Barnstable County",fishing,foot bitten by landed shark provoked incident,No,23h30,4' shark,"Menauhant Beach, Falmouth,
Barnstable County,Massachusetts,USA",41.5492765,-70.554751
61,23-Jul-2017,2017.0,Unprovoked,USA,New Jersey,Ventnor,other,minor injury to hand,No,,sandtiger shark  2',"Ventnor,New Jersey,USA",39.3405045,-74.4773916
62,20-Jul-2017,2017.0,Boating,USA,California,"Stearns Wharf, Santa Barbara",sailing,"no injury, kayak bitten",No,11h20,"white shark, 11' to 13'","Stearns Wharf, Santa Barbara,California,USA",34.4099523,-119.68578867181044
63,14-Jul-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Floreat Beach,surfing,"minor injury, grazed by shark",No,11h45,,"Floreat Beach,Western Australia,AUSTRALIA",-31.9310469,115.7548327
64,11-Jul-2017,2017.0,Boating,USA,California,"Santa Cruz, Santa Cruz County",sailing,"no injury, kayak bitten",No,11h00,white shark,"Santa Cruz, Santa Cruz County,California,USA",36.9743626,-122.0294673
65,09-Jul-2017,2017.0,Unprovoked,USA,Florida,"Haulover Beach, Miami-Dade County",swimming,lower legs bitten,No,15h30,"bull shark, 4' to 5'","Haulover Beach, Miami-Dade County,Florida,USA",25.9075625,-80.12140990445131
66,Reported 07-Jul-2017,2017.0,Provoked,MEXICO,Tabasco,"Sánchez Magallanes, Cárdenas",fishing,hand bitten by hooked shark provoked incident,No,,"tiger shark, 100 kg","Sánchez Magallanes, Cárdenas,Tabasco,MEXICO",18.2954949,-93.8613362
67,19-Jun-2017,2017.0,Unprovoked,USA,Florida,"Singer Island, Palm Beach County",surfing,1 to 2-inch laceration behind knee,No,Morning,,"Singer Island, Palm Beach County,Florida,USA",26.7850625,-80.0375408
68,18-Jun-2017,2017.0,Unprovoked,USA,South Carolina,"Burkes Beach, Hilton Head, Beaufort County",swimming,leg bitten,No,,"bull shark, 4' to 5'","Burkes Beach, Hilton Head, Beaufort County,South Carolina,USA",32.1933234,-80.69492145170693
69,2017.06.05,2017.0,Unprovoked,FRENCH POLYNESIA,Marquesas,"Atuona Bay, Hiva Oa Island",surfing,injuries to hand and wrist,No,,,"Atuona Bay, Hiva Oa Island,Marquesas,FRENCH POLYNESIA",-9.76667795,-139.00971485835828
70,11-Jun-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,"Point Casuarina, Bunbury",other,"no injury, board bitten",No,08h30,"white shark, 4 m","Point Casuarina, Bunbury,Western Australia,AUSTRALIA",-33.3204407,115.6382647
71,10-Jun-2017,2017.0,Unprovoked,USA,Florida,"Ponce Inlet, Volusia County",surfing,laceration to left foot,No,10h00,,"Ponce Inlet, Volusia County,Florida,USA",29.0963729,-80.9369983
72,Reported 07-Jun-2017,2017.0,Unprovoked,UNITED KINGDOM,South Devon,Bantham Beach,surfing,"bruise to leg, cuts to hand sustained when he hit the shark",No,,"3m shark, probably a smooth hound","Bantham Beach,South Devon,UNITED KINGDOM",50.2803847,-3.882804982969838
73,02-Jun-2017,2017.0,Unprovoked,BAHAMAS,New Providence,Athol Island,diving,right forearm severed,No,Shortly before 12h00,tiger shark,"Athol Island,New Providence,BAHAMAS",25.0754506,-77.2666571558642
74,30-May-2017,2017.0,Provoked,USA,South Carolina,"Awendaw, Charleston County",other,right hand bitten by hooked shark provoked incident,No,,3' shark,"Awendaw, Charleston County,South Carolina,USA",33.0376703,-79.613127
75,28-May-2017,2017.0,Unprovoked,USA,Florida,Off Jupiter,feeding,lacerations to right arm,No,Morning,tiger shark,"Off Jupiter,Florida,USA",26.9342246,-80.0942087
76,27-May-2017,2017.0,Invalid,AUSTRALIA,New South Wales,Evans Head,fishing,abrasion to right forearm from pectoral fin of a shark that leapt into his boat,No,,,"Evans Head,New South Wales,AUSTRALIA",-29.1174093,153.4312097
77,12-May-2017,2017.0,Unprovoked,UNITED ARAB EMIRATES,"Sharjah,",Khor Fakkan,fishing,right leg severely bitten,No,Morning,,"Khor Fakkan,Sharjah,,UNITED ARAB EMIRATES",25.3490802,56.348274
78,Reported 06-May-2017,2017.0,Provoked,AUSTRALIA,Queensland,Weipa,other,thigh nipped provoked incident,No,,9' shark,"Weipa,Queensland,AUSTRALIA",-12.6324025,141.87545828951443
79,29-Apr-2017,2017.0,Unprovoked,USA,California,"San Onofre, San Diego County ",swimming,major injury to posterior thigh,No,17h34,,"San Onofre, San Diego County ,California,USA",33.3803575,-117.5736037
80,29-Apr-2017,2017.0,Unprovoked,USA,South Carolina,"Folly Beach, Charleston County",surfing,left foot bitten,No,11h00,,"Folly Beach, Charleston County,South Carolina,USA",32.6549967,-79.9406093
81,17-Apr-2017,2017.0,Unprovoked,USA,Florida,"Daytona Beach, Volusia County",other,minor bite to the foot,No,Afternoon,,"Daytona Beach, Volusia County,Florida,USA",29.2108147,-81.0228331
82,14-Apr-2017,2017.0,Unprovoked,USA,Hawaii,"Kekaha Beach, Kauai",surfing,lower right leg severely injured,No,09h00,"tiger shark, 12'","Kekaha Beach, Kauai,Hawaii,USA",21.970833,-159.715
83,13-Apr-2017,2017.0,Unprovoked,USA,Florida,"Hanna Park, Jacksonville, Duval County",surfing,lacerations to right foot,No,13h30,,"Hanna Park, Jacksonville, Duval County,Florida,USA",30.37095535,-81.40284284733937
84,12-Apr-2017,2017.0,Unprovoked,USA,Florida,St. Augustine,surfing,lacerations to right foot,No,13h45,,"St. Augustine,Florida,USA",29.8946952,-81.3145395
85,11-Apr-2017,2017.0,Unprovoked,USA,Florida,"Ormond Beach, Volusia County",surfing,calf bitten,No,16h00,,"Ormond Beach, Volusia County,Florida,USA",29.2854132,-81.0557921
86,10-Apr-2017,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",other,laceration to calf,No,17h45,,"Melbourne Beach, Brevard County,Florida,USA",28.0683496,-80.5603303
87,10-Apr-2017,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",swimming,minor injury to left hand,No,17h00,,"Melbourne Beach, Brevard County,Florida,USA",28.0683496,-80.5603303
88,06-Apr-2017,2017.0,Unprovoked,USA,Florida,"Daytona, Volusia County",swimming,foot injured,No,,,"Daytona, Volusia County,Florida,USA",29.2108147,-81.0228331
89,05-Apr-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",swimming,"thigh nipped, minor injury",No,13h00,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
90,02-Apr-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Moreton Bay,other,"no injury, shark bit off stern of kayak",No,Afternoon,,"Moreton Bay,Queensland,AUSTRALIA",-27.2397819,153.2539994
91,02-Apr-2017,2017.0,Unprovoked,USA,Florida,"Destin, Okaloosa County",swimming,lacerations to thighs,No,15h00,"bull shark, 5' to 7'","Destin, Okaloosa County,Florida,USA",30.3935337,-86.4957834
92,27-Mar-2017,2017.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,minor injury to left foot,No,10h00,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
93,19-Mar-2017,2017.0,Unprovoked,AUSTRALIA,New South Wales,The Farm,other,minor,No,18h30,,"The Farm,New South Wales,AUSTRALIA",-34.6043897,150.86601091189198
94,18-Mar-2017,2017.0,Boating,USA,California,Monterey Bay,sailing,"no injury, kayak bitten",No,14h30,white shark,"Monterey Bay,California,USA",36.7999557,-121.9010668
95,11-Mar-2017,2017.0,Unprovoked,PHILIPPINES,Luzon Island,"Villamar, Caoayan",fishing,right thigh injured,No,,10' shark,"Villamar, Caoayan,Luzon Island,PHILIPPINES",17.5258302,120.38480296116764
96,25-Feb-2017,2017.0,Unprovoked,AUSTRALIA,Western Australia,Mauds Point,diving,hand bitten,No,Morning,"bull shark, 1.5","Mauds Point,Western Australia,AUSTRALIA",-23.1144364,113.776292
97,11-Feb-2017,2017.0,Unprovoked,USA,Florida,"Melbourne Beach, Brevard County",swimming,injury to hand,No,13h30,,"Melbourne Beach, Brevard County,Florida,USA",28.0683496,-80.5603303
98,24-Jan-2017,2017.0,Unprovoked,BRAZIL,Pernambuco,"Boa Viagem, Recife",swimming,minor laceration to ring finger,No,13h20,,"Boa Viagem, Recife,Pernambuco,BRAZIL",-8.1235027,-34.9033955
99,22-Jan-2017,2017.0,Unprovoked,USA,Florida,"Vero Beach, Indian River County",other,puncture wounds to lower arm or hand,No,14h00,,"Vero Beach, Indian River County,Florida,USA",27.6387163,-80.3975399
100,13-Jan-2017,2017.0,Unprovoked,AUSTRALIA,Queensland,Clairview,swimming,injury to hand,No,13h30,,"Clairview,Queensland,AUSTRALIA",-22.1081162,149.5287402
101,13-Jan-2017,2017.0,Unprovoked,USA,Florida,Jensen Beach,other,minor injury to hand,No,Morning,,"Jensen Beach,Florida,USA",27.22089615,-80.25567908960551
102,09-Jan-2017,2017.0,Unprovoked,INDONESIA,Bali,Balian Beach,surfing,injury to right wrist & forearm,No,07h30,"bull shark, 1 m","Balian Beach,Bali,INDONESIA",-8.5008382,114.964111
103,14-Dec-2016,2016.0,Unprovoked,AUSTRALIA,Western Australia,Trigg Beach,diving,punctures to left foot/ankle,No,09h30,,"Trigg Beach,Western Australia,AUSTRALIA",-31.8773458,115.75158325035817
104,06-Dec-2016,2016.0,Provoked,AUSTRALIA,New South Wales,Merimbula,fishing,lacerations to both hands while attempting to land a hooked shark provoked incident,No,02h00,"wobbegong shark, 2m","Merimbula,New South Wales,AUSTRALIA",-36.8882027,149.909846
105,01-Dec-2016,2016.0,Unprovoked,AUSTRALIA,New South Wales,Booti Booti National Park,surfing,injuries to foot & arm,No,09h00,white shark,"Booti Booti National Park,New South Wales,AUSTRALIA",-32.24447495,152.52830043393635
106,28-Nov-2016,2016.0,Provoked,AUSTRALIA,Victoria,Queenscliff,fishing,laceration to right hand by hooked & gaffed shark. provoked incident,No,11h00,"broadnose sevengill shark, 1.5 m","Queenscliff,Victoria,AUSTRALIA",-38.2671132,144.6612949
107,14-Nov-2016,2016.0,Unprovoked,USA,Hawaii,"Kamaole Beach Park I, Maui",sailing,injuries to right calf and thigh,No,10h30,tiger shark,"Kamaole Beach Park I, Maui,Hawaii,USA",20.72133105,-156.44740074805583
108,29-Oct-2016,2016.0,Unprovoked,USA,Florida,Mayport Naval Station  Duval County,surfing,lacerations to right hand,No,Afternoon,,"Mayport Naval Station  Duval County,Florida,USA",30.38425255,-81.41534028069897
109,24-Oct-2016,2016.0,Unprovoked,AUSTRALIA,New South Wales,Broken Head Beach,surfing,lacerations to left thigh,No,07h30,,"Broken Head Beach,New South Wales,AUSTRALIA",-28.70170575,153.61384702088105
110,15-Oct-2016,2016.0,Unprovoked,AUSTRALIA,Queensland,"Kings Beach, Caloundra",surfing,torso nipped,No,18h00,,"Kings Beach, Caloundra,Queensland,AUSTRALIA",-26.80463215,153.1408585072595
111,12-Oct-2016,2016.0,Unprovoked,AUSTRALIA,New South Wales,"Sharpes Beach, Ballina",surfing,minor wound to lower right leg & surfboard bitten,No,10h30,,"Sharpes Beach, Ballina,New South Wales,AUSTRALIA",-28.83757345,153.60440400883255
112,02-Oct-2016,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,cuts to dorsal surface of left foot,No,11h30,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
113,01-Oct-2016,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",other,minor injuries,No,17h30,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
114,26-Sep-2016,2016.0,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",surfing,4 deep lacerations to thigh,No,9h00,"white shark, 3.5 m","Lighthouse Beach, Ballina,New South Wales,AUSTRALIA",-28.8715325,153.59041337083795
115,18-Sep-2016,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,minor injury to thigh,No,13h00,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
116,18-Sep-2016,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,lacerations to hands,No,11h00,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
117,18-Sep-2016,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,lacerations to lower leg,No,10h43,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
118,17-Sep-2016,2016.0,Unprovoked,AUSTRALIA,Victoria,Thirteenth Beach,surfing,struck by fin on chest & leg,No,,,"Thirteenth Beach,Victoria,AUSTRALIA",-38.2847339,144.4592133
119,16-Sep-2016,2016.0,Unprovoked,AUSTRALIA,Victoria,Bells Beach,surfing,no injury: knocked off board by shark,No,,2 m shark,"Bells Beach,Victoria,AUSTRALIA",-38.36898495,144.2824517159807
120,15-Sep-2016,2016.0,Boating,AUSTRALIA,Western Australia,Bunbury,fishing,shark rammed boat. no injury to occupant,No,,,"Bunbury,Western Australia,AUSTRALIA",-33.3267797,115.636698
121,11-Sep-2016,2016.0,Unprovoked,USA,Florida,"Ponte Vedra, St. Johns County",walking,minor injury to arm,No,15h15,3' to 4' shark,"Ponte Vedra, St. Johns County,Florida,USA",30.2274645,-81.3800824
122,06-Sep-2016,2016.0,Unprovoked,NEW CALEDONIA,North Province,Koumac,surfing,fatal,Yes,15h40,,"Koumac,North Province,NEW CALEDONIA",-20.5613596,164.2811715
123,05-Sep-2016,2016.0,Unprovoked,AUSTRALIA,Western Australia,Injidup ,surfing,"no inury, board broken in half by shark",No,Late afternoon,,"Injidup ,Western Australia,AUSTRALIA",-33.6994998,114.9889732
124,04-Sep-2016,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",other,foot bitten,No,,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
125,01-Sep-2016,2016.0,Unprovoked,USA,California,"Refugio State Beach, Santa Barbara County",fishing,two toes broken & lacerated,No,,"white shark, 8' to 10'","Refugio State Beach, Santa Barbara County,California,USA",34.4624286,-120.04799240579185
126,29-Aug-2016,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,lacerations to right foot,No,15h00,"bull shark, 6'","New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
127,29-Aug-2016,2016.0,Unprovoked,USA,Florida,"New Smyrna Beach, Volusia County",surfing,minor injury to ankle,No,14h00,,"New Smyrna Beach, Volusia County,Florida,USA",29.0258132,-80.9271271
